ref,estado,status,bt,preco,precoAnterior,tipo,tipologia,concelho,freguesia,consultor,contrato,idade,dias,modificado
121161005-253,Vendido,4,1,249000,,Apartamento,T2,Amadora,Águas Livres,Paulo Pimpão,2026-05-12,97,76,2026-07-27
121161058-1011,Em mercado,1,2,2750,2950,Loja,,Loures,Loures,Daniel Santa,2025-05-20,454,409,2026-06-22
121161058-1024,Em mercado,1,1,385000,395000,Apartamento,T4,Lisboa,Santa Clara,Daniel Santa,2025-12-04,256,211,2026-06-23
121161058-1025,Em mercado,1,2,1850,,Apartamento,T3,Lisboa,Estrela,Daniel Santa,2025-12-12,248,202,2026-06-08
121161058-1031,Em mercado,1,1,225000,225500,Terreno,,Loures,Santo António dos Cavaleiros e Frielas,Daniel Santa,2026-04-27,112,93,2026-07-29
121161058-1032,Em mercado,1,1,235000,,Terreno,,Loures,Santo António dos Cavaleiros e Frielas,Daniel Santa,2026-04-27,112,66,2026-04-29
121161058-1035,Em mercado,1,1,240000,,Armazém,,Sintra,Queluz e Belas,Daniel Santa,2026-06-16,62,17,2026-06-16
121161058-1036,Em mercado,1,1,269000,,Apartamento,T2,Odivelas,Odivelas,Daniel Santa,2026-07-27,21,8,2026-08-04
121161058-1037,Em mercado,1,1,749000,,Moradia,T3,Loures,Loures,Daniel Santa,2026-07-27,21,11,2026-08-07
121161058-1038,Em mercado,1,1,799500,,Armazém,,Vila Franca de Xira,Vialonga,Daniel Santa,2026-07-28,20,7,2026-08-04
121161058-1039,Em mercado,1,1,322500,,Apartamento,T2,Sintra,Algueirão-Mem Martins,Daniel Santa,2026-07-28,20,9,2026-08-07
121161058-1040,Em mercado,1,1,525000,,Apartamento,T3,Sintra,Algueirão-Mem Martins,Daniel Santa,2026-07-31,17,7,2026-08-07
121161058-1041,Em mercado,1,1,449500,,Apartamento,T3,Loures,Loures,Daniel Santa,2026-08-04,13,3,2026-08-07
121161058-995,Em mercado,1,1,795000,955000,Terreno,,Palmela,Quinta do Anjo,Daniel Santa,2024-05-17,822,787,2026-07-13
121161065-97,Reservado,2,1,265000,,Apartamento,T2,Odivelas,Ramada e Caneças,Pinto Lopes,2026-08-07,10,7,2026-08-14
121161094-100,Em mercado,1,1,50500,,Terreno,,Tomar,Serra e Junceira,Telmo Gomes,2023-03-14,1252,1229,2026-08-09
121161094-120,Em mercado,1,1,615000,612000,Moradia,T3,Odivelas,Ramada e Caneças,Telmo Gomes,2026-01-07,222,202,2026-07-28
121161094-121,Reservado,2,2,1100,1090,Apartamento,T2,Loures,Moscavide e Portela,Telmo Gomes,2026-01-15,214,198,2026-08-01
121161094-122,Em mercado,1,1,325000,,Apartamento,T2,Odivelas,Póvoa de Santo Adrião e Olival Basto,Telmo Gomes,2026-02-19,179,133,2026-03-12
121161094-124,Arrendado,6,2,1000,,Loja,,Odivelas,Odivelas,Telmo Gomes,2026-07-28,20,16,2026-08-13
121161094-99,Em mercado,1,1,12000,,Terreno,,Tomar,Serra e Junceira,Telmo Gomes,2023-03-14,1252,1219,2026-07-30
121161097-140,Em mercado,1,1,59500,,Terreno,,Tomar,Casais e Alviobeira,Nuno Cruz,2024-10-31,655,609,2026-05-12
121161097-148,Em mercado,1,1,820000,,Moradia,T6,Tomar,Tomar (São João Baptista) e Santa Maria dos Olivais,Nuno Cruz,2025-12-18,242,195,2026-06-15
121161097-149,Em mercado,1,1,150000,175000,Loja,,Odivelas,Odivelas,Nuno Cruz,2026-05-04,105,87,2026-07-30
121161097-150,Em mercado,1,1,305000,,Apartamento,T2,Odivelas,Odivelas,Nuno Cruz,2026-07-09,39,4,2026-07-14
121161104-1555,Em mercado,1,1,850000,750000,Loja,,Arruda dos Vinhos,Arruda dos Vinhos,Natércia Ferreira,2024-08-23,724,678,2026-04-13
121161108-285,Em mercado,1,1,439900,439000,Apartamento,T3,Lisboa,Olivais,José Marta,2026-04-25,114,81,2026-07-24
121161108-286,Em mercado,1,1,395000,380000,Moradia,T4,Loures,Loures,José Marta,2026-05-05,104,90,2026-08-03
121161108-287,Em mercado,1,2,1550,1500,Apartamento,T3,Lisboa,Campo de Ourique,José Marta,2026-06-18,60,51,2026-08-09
121161108-288,Em mercado,1,1,180000,,Terreno,,Palmela,Quinta do Anjo,José Marta,2026-07-04,44,33,2026-08-06
121161108-289,Em mercado,1,2,7500,,Apartamento (Luxo),T4,Lisboa,Arroios,José Marta,2026-07-10,38,9,2026-07-20
121161108-290,Arrendado,6,2,1500,,Apartamento,T5,Amadora,Venteira,José Marta,2026-07-27,21,9,2026-08-05
121161119-65,Em mercado,1,2,3250,3500,Apartamento,T2,Lisboa,Avenidas Novas,Helena Silva,2026-03-13,157,119,2026-07-24
121161124-16,Em mercado,1,1,1150000,,Moradia,T5,Odivelas,Pontinha e Famões,Isabel Santos,2025-06-12,431,238,2026-06-08
121161124-17,Em mercado,1,1,205000,,Apartamento,T3,Covilhã,Covilhã e Canhoso,Isabel Santos,2026-03-12,158,111,2026-05-19
121161124-18,Em mercado,1,1,375000,,Apartamento,T4,Grândola,Grândola e Santa Margarida da Serra,Isabel Santos,2026-05-26,83,62,2026-07-27
121161126-42,Em mercado,1,1,59000,,Terreno,,Lourinhã,Vimeiro,Conceição Vieira,2025-06-05,438,385,2026-05-27
121161126-44,Em mercado,1,1,56500,,Terreno,,Lourinhã,Vimeiro,Conceição Vieira,2025-06-12,431,385,2026-06-08
121161126-46,Em mercado,1,1,397000,,Moradia,T3,Cadaval,Lamas e Cercal,Conceição Vieira,2026-08-06,11,0,2026-08-06
